,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
24,Mexico,0.0,20918.6,21450.04,27427.59,28777.9,5952.0,8573.0,10269.99,15877.14,16428.65,14490.5,15252.67,15579.89,17431.0,18586.34,18832.4,19772.05,20846.6,21822.6,22175.09,24910.373,26136.01,27979.454,0.0,0.0,0.0,0.0,0.0,0.0
25,Netherlands,0.0,3610.0,0.0,3196.0,2830.0,2425.0,1778.0,1080.0,838.0,616.0,900.0,783.0,800.0,252.0,159.0,168.0,232.0,199.0,154.0,152.0,145.0,151.0,138.0,131.0,128.0,125.0,127.0,124.0,124.0
26,New Zealand,3330.0,0.0,0.0,0.0,0.0,3180.0,0.0,0.0,0.0,0.0,0.0,0.0,3022.0,3075.0,3186.0,0.0,3156.0,0.0,0.0,0.0,2532.0,2512.0,2514.0,2684.0,2931.0,3221.0,3405.0,3481.0,3481.0
27,Norway,0.0,0.0,1722.6,1636.5,1738.56,1982.38,1858.66,1682.6,1843.0,1459.0,1507.0,413.49,424.12,392.61,375.38,355.12,389.86,431.53,415.3,323.54,136.78,55.71,44.0,52.43,60.02,74.06,166.55,137.14,137.14
28,Poland,0.0,0.0,0.0,0.0,0.0,10784.0,11402.0,11814.0,11592.0,12074.0,11965.0,10638.0,10142.0,9609.0,9194.0,8623.0,8987.0,9098.0,8716.0,8423.0,8037.0,8400.0,8085.0,6997.0,6031.0,5897.0,5331.0,5000.0,5000.0
29,Portugal,0.0,0.0,0.0,3110.0,3610.0,3182.57,3370.5,3607.05,3761.26,3951.49,3223.51,3176.38,3290.13,3177.61,3044.04,2969.27,3142.77,3170.43,3530.22,3341.71,3380.82,3048.13,2592.8,2320.19,2307.17,2221.19,2184.91,2368.81,2368.81
30,Slovak Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1241.72,1117.28,1134.14,1055.93,0.0,1124.1,1172.54,1123.4,1143.81,1169.44,1209.83,1276.27,1264.01,1325.02,1240.13,1211.4,1151.89,1158.33,1226.0,1236.34,1246.13,1246.13
31,Slovenia,0.0,0.0,0.0,0.0,0.0,908.35,925.0,975.0,1016.73,900.0,800.0,712.3,712.83,693.53,624.92,658.57,725.23,687.61,684.72,627.69,571.28,481.19,316.41,224.0,207.68,209.77,78.46,99.19,99.19
32,Spain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13091.44,14539.91,14788.89,14276.2,13262.64,11800.9,12022.6,12128.6,11657.9,11263.4,11263.4
33,Sweden,1400.0,0.0,0.0,0.0,1380.0,1200.0,1110.0,1150.0,1020.0,920.0,865.0,880.0,825.0,575.0,380.0,210.11,226.0,186.49,140.25,58.4,37.63,32.75,26.76,28.0,27.1,34.8,27.7,20.49,20.49
34,Switzerland,930.0,700.0,650.0,650.0,590.0,540.0,490.0,480.0,470.0,470.0,391.0,203.0,80.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Turkey,0.0,0.0,0.0,0.0,16565.0,19975.08,21493.46,22981.53,24002.25,23256.87,23894.07,24471.09,24572.64,25304.58,24407.52,25947.4,24708.67,25484.35,23798.0,25700.0,24904.0,26319.0,25552.0,25267.0,27864.0,27415.0,28491.0,28837.0,28837.0
36,United Kingdom,0.0,0.0,0.0,0.0,0.0,23990.0,25574.0,26848.0,26607.0,27482.0,27563.0,27948.0,27546.0,26144.0,25006.0,22569.0,21335.0,19685.0,17590.0,16020.3,14685.53,12573.8,11280.9,10532.85,8706.09,7217.26,6046.48,5054.92,5054.92
37,United States,129791.0,124375.0,127759.0,127314.0,124330.0,114296.0,110550.0,114677.0,118741.0,122760.0,127242.0,124756.0,127922.0,125373.0,130671.0,129083.0,129283.0,126752.0,124321.0,120774.0,123658.0,119721.0,120157.0,121835.0,123305.0,124919.34,126261.97,126633.92,126633.92
